ID	|T|	T	|V'|
T6.6	6	6,16,17,20,22,25	425
T6.7	6	4,5,10,11,12,25	676
T6.8	6	1,6,15,19,22,23	511
T6.9	6	0,1,9,12,17,25	471
T6.10	6	0,7,11,20,21,23	478
T6.11	6	0,4,7,10,12,13	436
T6.12	6	3,7,15,16,21,26	435
T6.13	6	0,1,4,6,16,25	419
T6.14	6	2,5,7,19,20,25	795
T6.15	6	0,3,4,13,14,15	408
T6.16	6	0,3,11,13,15,19	495
T6.17	6	1,14,15,20,22,25	264
T6.18	6	0,2,4,7,14,15	500
T6.19	6	0,6,12,14,17,25	476
T6.20	6	1,6,7,10,17,19	585
T6.21	6	16,17,20,21,22,25	294
T6.22	6	2,5,6,13,16,24	728
T6.23	6	8,11,12,16,18,20	716
T6.24	6	0,1,9,18,19,23	645
T6.25	6	15,18,20,21,23,25	339
T6.26	6	5,6,7,15,18,20	810
T6.27	6	6,7,12,16,19,23	625
T6.28	6	0,2,12,16,18,21	466
T6.29	6	0,10,12,22,23,26	402
T6.30	6	4,6,7,13,16,20	514
T6.31	6	1,9,12,16,21,26	427
T6.32	6	1,9,10,14,18,20	505
T6.33	6	3,4,12,15,24,26	354
T6.34	6	5,6,13,15,24,26	692
T6.35	6	3,12,13,14,17,18	406
T6.36	6	0,11,16,20,21,24	397
T6.37	6	5,7,11,17,19,26	773
T6.38	6	4,5,13,15,19,26	682
T6.39	6	6,7,13,15,16,19	579
T6.40	6	12,17,19,20,24,26	436
T6.41	6	6,7,10,12,19,26	581
T6.42	6	7,8,17,22,23,25	729
T6.43	6	3,9,13,15,18,19	590
T6.44	6	0,11,12,19,21,26	455
T6.45	6	1,6,9,14,21,26	530
T6.46	6	0,1,3,7,20,22	454
T6.47	6	5,12,13,17,19,20	719
T6.48	6	3,5,7,11,14,21	768
T6.49	6	1,6,17,24,25,26	335
T6.50	6	0,2,4,7,18,20	505
T6.51	6	2,5,13,14,16,17	709
T6.52	6	6,7,8,13,20,25	732
T6.53	6	1,8,19,20,23,26	665
T6.54	6	4,5,6,9,21,22	771
T6.55	6	1,7,10,12,16,20	411
T6.56	6	9,10,11,12,20,21	466
T6.57	6	2,10,15,22,24,26	368
T6.58	6	5,7,8,9,11,21	918
T6.59	6	4,9,14,17,20,23	506
T6.60	6	2,8,12,15,16,20	657
T6.61	6	1,2,4,12,21,26	269
T6.62	6	3,5,7,11,13,23	783
T6.63	6	0,11,14,16,19,20	515
T6.64	6	0,5,12,18,20,22	737
T6.65	6	1,5,7,13,22,24	751
T6.66	6	3,4,8,10,17,23	740
T6.67	6	3,4,11,14,19,24	545
T6.68	6	2,7,18,21,22,23	472
T6.69	6	0,7,10,12,17,23	487
T6.70	6	5,6,7,10,13,21	781
T6.71	6	5,6,7,13,18,25	800
T6.72	6	1,9,16,19,21,26	516
T6.73	6	0,5,10,13,14,15	690
T6.74	6	4,6,7,8,9,24	799
T6.75	6	0,9,12,13,19,22	581
T6.76	6	1,3,10,11,21,22	318
T6.77	6	0,11,12,15,17,26	336
T6.78	6	0,5,6,7,10,26	793
T6.79	6	11,14,15,16,17,26	294
T6.80	6	1,4,13,15,19,23	394
T6.81	6	1,8,10,19,23,24	676
T6.82	6	1,4,7,20,22,24	397
T6.83	6	4,12,13,17,21,22	206
T6.84	6	6,13,15,19,22,25	463
T6.85	6	1,9,17,22,25,26	338
T6.86	6	1,6,7,12,19,24	562
T6.87	6	3,7,13,19,20,25	538
T6.88	6	0,9,13,15,18,20	529
T6.89	6	1,2,7,10,25,26	399
T6.90	6	2,6,7,11,19,26	635
T6.91	6	0,4,14,22,23,24	456
T6.92	6	3,11,13,16,17,20	377
T6.93	6	0,1,3,5,11,24	724
T6.94	6	1,2,5,8,11,16	835
T6.95	6	0,2,3,14,17,24	482
T6.96	6	13,16,20,22,24,25	326
T6.97	6	0,7,18,19,23,26	598
T6.98	6	8,12,13,18,19,21	675
T6.99	6	3,4,6,10,14,22	541
T6.100	6	12,17,20,21,25,26	221
T8.1	8	0,1,4,9,10,18,23,24	640
T8.2	8	0,1,6,14,16,21,22,26	487
T8.3	8	2,5,10,12,15,16,17,23	739
T8.4	8	3,6,8,12,17,18,24,26	783
T8.5	8	0,2,8,9,15,20,25,26	716
T8.6	8	4,5,6,16,17,20,22,25	743
T8.7	8	4,5,10,11,12,14,24,25	736
T8.8	8	1,6,13,15,19,22,23,24	546
T8.9	8	0,1,9,11,12,17,22,25	520
T8.10	8	0,7,10,11,16,20,21,23	555
T8.11	8	0,4,6,7,10,12,13,20	553
T8.12	8	3,5,7,15,16,20,21,26	772
T8.13	8	0,1,4,6,16,18,21,25	509
T8.14	8	2,5,7,16,19,20,25,26	808
T8.15	8	0,3,4,13,14,15,16,17	476
T8.16	8	0,3,11,13,14,15,19,20	550
T8.17	8	1,8,14,15,19,20,22,25	672
T8.18	8	0,2,4,7,12,14,15,18	556
T8.19	8	0,3,6,12,14,17,19,25	640
T8.20	8	1,2,6,7,10,17,19,22	640
T8.21	8	12,15,16,17,20,21,22,25	351
T8.22	8	2,5,6,13,16,18,24,25	780
T8.23	8	8,11,12,13,14,16,18,20	751
T8.24	8	0,1,2,9,11,18,19,23	679
T8.25	8	15,18,19,20,21,23,25,26	496
T8.26	8	5,6,7,9,15,18,20,24	875
T8.27	8	6,7,12,16,18,19,23,24	676
T8.28	8	0,2,6,12,16,18,21,22	566
T8.29	8	0,3,8,10,12,22,23,26	765
T8.30	8	2,4,6,7,13,16,18,20	618
T8.31	8	1,5,9,12,16,21,25,26	732
T8.32	8	1,9,10,14,15,18,20,25	526
T8.33	8	3,4,12,13,15,21,24,26	383
T8.34	8	5,6,11,13,15,18,24,26	754
T8.35	8	3,8,12,13,14,17,18,21	791
T8.36	8	0,6,11,16,20,21,22,24	500
T8.37	8	5,7,11,16,17,19,22,26	798
T8.38	8	1,4,5,13,15,19,20,26	703
T8.39	8	6,7,13,14,15,16,19,20	661
T8.40	8	1,12,14,17,19,20,24,26	499
T8.41	8	4,6,7,10,12,19,24,26	604
T8.42	8	7,8,10,17,22,23,24,25	774
T8.43	8	3,9,13,15,18,19,22,26	599
T8.44	8	0,6,11,12,19,21,25,26	558
T8.45	8	1,4,6,9,14,15,21,26	562
T8.46	8	0,1,3,6,7,20,21,22	588
T8.47	8	0,5,8,12,13,17,19,20	835
T8.48	8	0,3,5,7,11,14,15,21	798
T8.49	8	1,4,6,17,21,24,25,26	373
T8.50	8	0,2,4,7,11,18,20,25	535
T8.51	8	2,5,13,14,16,17,21,25	715
T8.52	8	5,6,7,8,13,20,22,25	904
T8.53	8	1,3,8,12,19,20,23,26	749
T8.54	8	3,4,5,6,9,18,21,22	837
T8.55	8	0,1,6,7,10,12,16,20	561
T8.56	8	2,4,9,10,11,12,20,21	509
T8.57	8	2,8,10,15,19,22,24,26	668
T8.58	8	1,5,7,8,9,11,21,26	919
T8.59	8	4,6,9,14,16,17,20,23	669
T8.60	8	2,7,8,12,14,15,16,20	780
T8.61	8	1,2,4,5,12,17,21,26	691
T8.62	8	3,5,6,7,11,12,13,23	844
T8.63	8	0,10,11,14,16,19,20,26	535
T8.64	8	0,2,5,12,17,18,20,22	770
T8.65	8	1,5,7,8,13,22,24,25	885
T8.66	8	3,4,8,10,13,17,23,26	745
T8.67	8	2,3,4,11,14,19,22,24	596
T8.68	8	1,2,7,9,18,21,22,23	605
T8.69	8	0,4,7,10,12,17,18,23	538
T8.70	8	4,5,6,7,10,13,21,23	806
T8.71	8	1,5,6,7,13,14,18,25	814
T8.72	8	1,4,9,10,16,19,21,26	561
T8.73	8	0,5,10,11,13,14,15,26	706
T8.74	8	0,3,4,6,7,8,9,24	849
T8.75	8	0,7,9,12,13,19,20,22	675
T8.76	8	1,3,10,11,12,18,21,22	434
T8.77	8	0,8,11,12,15,17,19,26	694
T8.78	8	0,5,6,7,9,10,16,26	850
T8.79	8	2,11,12,14,15,16,17,26	442
T8.80	8	1,3,4,7,13,15,19,23	584
T8.81	8	1,8,9,10,19,23,24,25	764
T8.82	8	0,1,3,4,7,20,22,24	520
T8.83	8	4,6,12,13,17,18,21,22	477
T8.84	8	6,8,13,14,15,19,22,25	694
T8.85	8	1,4,9,15,17,22,25,26	379
T8.86	8	1,6,7,8,12,14,19,24	764
T8.87	8	1,3,7,13,14,19,20,25	585
T8.88	8	0,9,13,15,16,18,20,26	566
T8.89	8	1,2,7,10,13,15,25,26	425
T8.90	8	2,6,7,11,13,19,22,26	658
T8.91	8	0,4,10,14,19,22,23,24	591
T8.92	8	3,8,11,13,16,17,20,24	730
T8.93	8	0,1,3,5,11,19,23,24	795
T8.94	8	1,2,5,7,8,11,16,21	906
T8.95	8	0,2,3,14,15,17,21,24	501
T8.96	8	3,9,13,16,20,22,24,25	529
T8.97	8	0,1,7,12,18,19,23,26	611
T8.98	8	1,5,8,12,13,18,19,21	847
T8.99	8	3,4,6,9,10,14,22,25	646
T8.100	8	8,12,17,19,20,21,25,26	647
T10.1	10	0,1,4,9,10,14,16,18,23,24	696
T10.2	10	0,1,3,6,10,14,16,21,22,26	572
T10.3	10	2,3,5,10,12,15,16,17,21,23	769
T10.4	10	3,6,8,12,17,18,19,21,24,26	802
T10.5	10	0,1,2,6,8,9,15,20,25,26	748
T10.6	10	4,5,6,13,16,17,20,22,25,26	747
T10.7	10	4,5,8,10,11,12,14,20,24,25	865
T10.8	10	1,6,8,10,13,15,19,22,23,24	729
T10.9	10	0,1,9,11,12,17,18,20,22,25	584
T10.10	10	0,4,7,10,11,15,16,20,21,23	571
T10.11	10	0,4,6,7,8,10,12,13,20,26	761
T10.12	10	1,3,5,7,15,16,20,21,24,26	792
T10.13	10	0,1,4,5,6,13,16,18,21,25	779
T10.14	10	2,4,5,7,16,17,19,20,25,26	818
T10.15	10	0,3,4,13,14,15,16,17,18,24	580
T10.16	10	0,2,3,11,13,14,15,18,19,20	635
T10.17	10	0,1,3,8,14,15,19,20,22,25	741
T10.18	10	0,2,4,7,12,14,15,18,20,23	614
T10.19	10	0,3,6,7,12,14,17,19,23,25	756
T10.20	10	1,2,6,7,8,10,15,17,19,22	788
T10.21	10	11,12,15,16,17,18,20,21,22,25	449
T10.22	10	2,5,6,8,11,13,16,18,24,25	895
T10.23	10	8,10,11,12,13,14,16,18,20,24	769
T10.24	10	0,1,2,6,9,11,18,19,23,24	759
T10.25	10	4,5,15,18,19,20,21,23,25,26	774
T10.26	10	0,5,6,7,9,15,18,20,24,26	885
T10.27	10	6,7,9,12,16,18,19,23,24,26	787
T10.28	10	0,2,6,11,12,16,17,18,21,22	597
T10.29	10	0,3,8,10,12,21,22,23,25,26	774
T10.30	10	2,4,6,7,12,13,16,18,19,20	698
T10.31	10	0,1,5,9,12,16,17,21,25,26	767
T10.32	10	1,5,9,10,14,15,18,20,22,25	782
T10.33	10	0,3,4,12,13,15,17,21,24,26	458
T10.34	10	5,6,9,11,13,15,16,18,24,26	822
T10.35	10	3,8,12,13,14,16,17,18,21,23	840
T10.36	10	0,6,10,11,16,19,20,21,22,24	601
T10.37	10	4,5,7,11,12,16,17,19,22,26	806
T10.38	10	0,1,2,4,5,13,15,19,20,26	751
T10.39	10	5,6,7,10,13,14,15,16,19,20	844
T10.40	10	1,10,12,14,17,19,20,24,25,26	529
T10.41	10	2,4,6,7,10,12,19,24,25,26	650
T10.42	10	7,8,10,14,16,17,22,23,24,25	812
T10.43	10	0,3,9,13,15,18,19,20,22,26	651
T10.44	10	0,3,6,11,12,15,19,21,25,26	628
T10.45	10	1,4,6,9,13,14,15,18,21,26	643
T10.46	10	0,1,3,6,7,8,12,20,21,22	821
T10.47	10	0,5,8,10,12,13,17,19,20,22	846
T10.48	10	0,3,5,7,11,14,15,17,20,21	811
T10.49	10	1,2,4,6,17,18,21,24,25,26	539
T10.50	10	0,2,4,7,10,11,18,20,24,25	602
T10.51	10	2,5,7,9,13,14,16,17,21,25	839
T10.52	10	1,5,6,7,8,10,13,20,22,25	908
T10.53	10	1,3,6,8,12,17,19,20,23,26	798
T10.54	10	3,4,5,6,9,13,18,21,22,23	865
T10.55	10	0,1,2,6,7,10,12,16,20,25	601
T10.56	10	2,4,9,10,11,12,19,20,21,25	611
T10.57	10	2,6,8,10,15,19,22,23,24,26	754
T10.58	10	1,2,5,7,8,9,11,14,21,26	938
T10.59	10	4,6,9,12,13,14,16,17,20,23	691
T10.60	10	2,7,8,9,12,14,15,16,19,20	845
T10.61	10	0,1,2,4,5,11,12,17,21,26	734
T10.62	10	3,5,6,7,11,12,13,21,23,25	845
T10.63	10	0,3,5,10,11,14,16,19,20,26	785
T10.64	10	0,2,5,8,9,12,17,18,20,22	925
T10.65	10	1,5,7,8,13,15,18,22,24,25	913
T10.66	10	1,3,4,8,10,13,14,17,23,26	781
T10.67	10	2,3,4,8,11,14,19,22,23,24	828
T10.68	10	0,1,2,7,9,18,21,22,23,26	667
T10.69	10	0,1,4,7,10,12,13,17,18,23	549
T10.70	10	1,4,5,6,7,10,13,16,21,23	815
T10.71	10	1,5,6,7,12,13,14,18,21,25	820
T10.72	10	1,4,9,10,12,15,16,19,21,26	580
T10.73	10	0,1,5,10,11,13,14,15,19,26	749
T10.74	10	0,3,4,6,7,8,9,11,22,24	880
T10.75	10	0,4,7,9,10,12,13,19,20,22	684
T10.76	10	1,2,3,6,10,11,12,18,21,22	627
T10.77	10	0,3,8,11,12,15,17,18,19,26	794
T10.78	10	0,5,6,7,9,10,13,16,23,26	877
T10.79	10	2,11,12,14,15,16,17,21,24,26	496
T10.80	10	1,2,3,4,7,13,15,19,21,23	634
T10.81	10	1,3,6,8,9,10,19,23,24,25	822
T10.82	10	0,1,3,4,7,20,21,22,24,26	529
T10.83	10	0,4,6,9,12,13,17,18,21,22	671
T10.84	10	6,7,8,13,14,15,18,19,22,25	804
T10.85	10	1,4,9,15,17,18,19,22,25,26	582
T10.86	10	1,6,7,8,10,12,14,17,19,24	790
T10.87	10	1,3,7,12,13,14,19,20,25,26	598
T10.88	10	0,2,4,9,13,15,16,18,20,26	607
T10.89	10	1,2,7,10,11,13,14,15,25,26	498
T10.90	10	2,5,6,7,11,13,19,22,25,26	854
T10.91	10	0,4,5,10,14,17,19,22,23,24	802
T10.92	10	3,8,11,13,16,17,18,20,23,24	824
T10.93	10	0,1,3,4,5,11,19,22,23,24	818
T10.94	10	1,2,5,7,8,11,14,16,21,24	921
T10.95	10	0,2,3,8,14,15,17,18,21,24	819
T10.96	10	3,9,10,13,16,19,20,22,24,25	625
T10.97	10	0,1,2,7,12,18,19,22,23,26	657
T10.98	10	1,5,8,12,13,14,16,18,19,21	874
T10.99	10	3,4,6,9,10,14,21,22,25,26	654
T10.100	10	1,8,10,12,17,19,20,21,25,26	663
T12.1	12	0,1,4,5,9,10,11,14,16,18,23,24	858
T12.2	12	0,1,3,6,10,12,14,16,21,22,25,26	605
T12.3	12	2,3,5,8,10,12,15,16,17,20,21,23	898
T12.4	12	3,6,7,8,12,17,18,19,21,22,24,26	862
T12.5	12	0,1,2,6,8,9,15,17,20,21,25,26	773
T12.6	12	0,4,5,6,13,15,16,17,20,22,25,26	760
T12.7	12	4,5,8,10,11,12,14,15,20,24,25,26	866
T12.8	12	1,6,8,10,11,13,14,15,19,22,23,24	783
T12.9	12	0,1,7,8,9,11,12,17,18,20,22,25	866
T12.10	12	0,4,7,10,11,12,15,16,18,20,21,23	614
T12.11	12	0,4,5,6,7,8,10,12,13,17,20,26	914
T12.12	12	0,1,3,5,7,8,15,16,20,21,24,26	926
T12.13	12	0,1,3,4,5,6,13,16,18,21,25,26	811
T12.14	12	2,3,4,5,7,9,16,17,19,20,25,26	873
T12.15	12	0,3,4,5,11,13,14,15,16,17,18,24	817
T12.16	12	0,2,3,4,11,13,14,15,18,19,20,24	687
T12.17	12	0,1,3,8,14,15,18,19,20,22,24,25	809
T12.18	12	0,1,2,4,7,12,14,15,18,20,23,26	614
T12.19	12	0,3,6,7,9,12,14,17,19,23,25,26	825
T12.20	12	1,2,6,7,8,10,13,15,17,19,22,24	796
T12.21	12	2,6,11,12,15,16,17,18,20,21,22,25	611
T12.22	12	2,4,5,6,8,11,13,16,18,19,24,25	902
T12.23	12	0,8,10,11,12,13,14,15,16,18,20,24	787
T12.24	12	0,1,2,3,4,6,9,11,18,19,23,24	799
T12.25	12	4,5,15,18,19,20,21,22,23,24,25,26	811
T12.26	12	0,5,6,7,8,9,15,18,20,24,25,26	968
T12.27	12	2,6,7,9,12,16,18,19,20,23,24,26	814
T12.28	12	0,2,6,11,12,15,16,17,18,21,22,24	620
T12.29	12	0,3,8,10,12,13,15,21,22,23,25,26	781
T12.30	12	2,4,6,7,12,13,16,18,19,20,21,24	713
T12.31	12	0,1,2,5,9,12,16,17,20,21,25,26	783
T12.32	12	0,1,2,5,9,10,14,15,18,20,22,25	813
T12.33	12	0,3,4,12,13,15,17,20,21,24,25,26	477
T12.34	12	4,5,6,9,11,13,15,16,18,22,24,26	843
T12.35	12	2,3,8,12,13,14,16,17,18,19,21,23	865
T12.36	12	0,6,10,11,14,16,17,19,20,21,22,24	648
T12.37	12	4,5,7,11,12,13,14,16,17,19,22,26	822
T12.38	12	0,1,2,4,5,13,15,17,19,20,23,26	787
T12.39	12	5,6,7,10,13,14,15,16,19,20,22,25	854
T12.40	12	1,5,9,10,12,14,17,19,20,24,25,26	825
T12.41	12	2,3,4,6,7,10,12,19,20,24,25,26	708
T12.42	12	7,8,9,10,14,16,17,20,22,23,24,25	889
T12.43	12	0,3,7,9,13,15,16,18,19,20,22,26	749
T12.44	12	0,3,6,11,12,15,18,19,21,22,25,26	681
T12.45	12	1,4,6,9,13,14,15,16,18,21,22,26	675
T12.46	12	0,1,2,3,6,7,8,12,17,20,21,22	843
T12.47	12	0,5,8,9,10,12,13,17,19,20,22,26	884
T12.48	12	0,1,3,5,7,11,14,15,17,19,20,21	853
T12.49	12	1,2,4,6,9,13,17,18,21,24,25,26	666
T12.50	12	0,2,4,7,10,11,13,18,20,22,24,25	616
T12.51	12	2,4,5,7,9,13,14,16,17,21,22,25	848
T12.52	12	1,5,6,7,8,9,10,11,13,20,22,25	953
T12.53	12	1,2,3,5,6,8,12,17,19,20,23,26	914
T12.54	12	2,3,4,5,6,9,13,14,18,21,22,23	890
T12.55	12	0,1,2,6,7,10,11,12,16,20,25,26	632
T12.56	12	0,2,4,9,10,11,12,19,20,21,23,25	698
T12.57	12	2,6,8,10,15,17,18,19,22,23,24,26	806
T12.58	12	0,1,2,5,7,8,9,11,14,21,24,26	959
T12.59	12	3,4,6,9,12,13,14,16,17,20,23,26	719
T12.60	12	2,7,8,9,11,12,14,15,16,19,20,22	869
T12.61	12	0,1,2,4,5,6,11,12,13,17,21,26	784
T12.62	12	2,3,5,6,7,11,12,13,18,21,23,25	886
T12.63	12	0,3,5,10,11,13,14,16,19,20,25,26	793
T12.64	12	0,2,5,8,9,12,17,18,20,22,23,25	947
T12.65	12	1,5,7,8,13,15,18,19,20,22,24,25	923
T12.66	12	0,1,3,4,8,10,13,14,17,21,23,26	803
T12.67	12	2,3,4,5,8,11,14,19,22,23,24,26	923
T12.68	12	0,1,2,7,9,12,16,18,21,22,23,26	705
T12.69	12	0,1,4,7,9,10,12,13,17,18,23,26	678
T12.70	12	0,1,4,5,6,7,10,13,16,19,21,23	861
T12.71	12	1,5,6,7,12,13,14,15,18,21,23,25	836
T12.72	12	0,1,4,9,10,12,15,16,19,21,24,26	640
T12.73	12	0,1,5,10,11,13,14,15,19,21,25,26	753
T12.74	12	0,3,4,6,7,8,9,10,11,21,22,24	890
T12.75	12	0,3,4,7,9,10,12,13,17,19,20,22	714
T12.76	12	1,2,3,6,10,11,12,17,18,19,21,22	707
T12.77	12	0,3,8,10,11,12,14,15,17,18,19,26	824
T12.78	12	0,5,6,7,9,10,13,15,16,22,23,26	882
T12.79	12	2,11,12,14,15,16,17,18,21,22,24,26	555
T12.80	12	1,2,3,4,7,12,13,14,15,19,21,23	673
T12.81	12	1,3,6,7,8,9,10,12,19,23,24,25	896
T12.82	12	0,1,3,4,7,10,16,20,21,22,24,26	576
T12.83	12	0,4,6,9,12,13,14,17,18,19,21,22	770
T12.84	12	0,3,6,7,8,13,14,15,18,19,22,25	882
T12.85	12	1,4,9,12,15,17,18,19,22,24,25,26	648
T12.86	12	1,5,6,7,8,10,12,14,17,18,19,24	939
T12.87	12	1,3,4,7,9,12,13,14,19,20,25,26	694
T12.88	12	0,2,4,9,13,15,16,17,18,20,24,26	644
T12.89	12	1,2,6,7,10,11,13,14,15,17,25,26	634
T12.90	12	2,5,6,7,9,11,13,19,21,22,25,26	898
T12.91	12	0,3,4,5,10,14,17,19,20,22,23,24	838
T12.92	12	3,4,6,8,11,13,16,17,18,20,23,24	855
T12.93	12	0,1,3,4,5,7,11,19,22,23,24,26	877
T12.94	12	1,2,3,5,7,8,11,14,15,16,21,24	948
T12.95	12	0,2,3,8,9,14,15,17,18,21,23,24	890
T12.96	12	3,7,9,10,13,15,16,19,20,22,24,25	725
T12.97	12	0,1,2,5,7,12,14,18,19,22,23,26	871
T12.98	12	1,5,6,8,12,13,14,16,18,19,21,24	891
T12.99	12	0,3,4,6,9,10,14,18,21,22,25,26	722
T12.100	12	1,2,5,8,10,12,17,19,20,21,25,26	844
T14.1	14	0,1,4,5,9,10,11,12,14,15,16,18,23,24	867
T14.2	14	0,1,3,6,8,10,12,14,16,19,21,22,25,26	803
T14.3	14	2,3,4,5,8,10,12,15,16,17,20,21,23,25	902
T14.4	14	2,3,4,6,7,8,12,17,18,19,21,22,24,26	875
T14.5	14	0,1,2,6,8,9,10,13,15,17,20,21,25,26	780
T14.6	14	0,4,5,6,13,14,15,16,17,20,21,22,25,26	783
T14.7	14	3,4,5,8,10,11,12,14,15,20,21,24,25,26	896
T14.8	14	1,2,3,6,8,10,11,13,14,15,19,22,23,24	855
T14.9	14	0,1,3,7,8,9,10,11,12,17,18,20,22,25	892
T14.10	14	0,4,7,9,10,11,12,15,16,17,18,20,21,23	729
T14.11	14	0,4,5,6,7,8,10,12,13,17,20,22,23,26	940
T14.12	14	0,1,3,5,7,8,15,16,19,20,21,24,25,26	929
T14.13	14	0,1,3,4,5,6,9,13,16,18,19,21,25,26	878
T14.14	14	2,3,4,5,7,9,12,13,16,17,19,20,25,26	879
T14.15	14	0,3,4,5,9,11,13,14,15,16,17,18,22,24	862
T14.16	14	0,2,3,4,11,12,13,14,15,18,19,20,22,24	703
T14.17	14	0,1,3,8,13,14,15,16,18,19,20,22,24,25	820
T14.18	14	0,1,2,3,4,5,7,12,14,15,18,20,23,26	861
T14.19	14	0,3,4,6,7,9,11,12,14,17,19,23,25,26	837
T14.20	14	1,2,6,7,8,9,10,11,13,15,17,19,22,24	873
T14.21	14	2,6,11,12,13,15,16,17,18,19,20,21,22,25	684
T14.22	14	0,1,2,4,5,6,8,11,13,16,18,19,24,25	911
T14.23	14	0,3,8,10,11,12,13,14,15,16,18,20,24,26	834
T14.24	14	0,1,2,3,4,6,9,11,12,18,19,23,24,26	808
T14.25	14	4,5,6,11,15,18,19,20,21,22,23,24,25,26	846
T14.26	14	0,5,6,7,8,9,15,16,18,20,21,24,25,26	969
T14.27	14	0,2,3,6,7,9,12,16,18,19,20,23,24,26	849
T14.28	14	0,2,5,6,11,12,15,16,17,18,21,22,24,26	824
T14.29	14	0,3,8,10,11,12,13,15,20,21,22,23,25,26	813
T14.30	14	2,4,5,6,7,12,13,16,18,19,20,21,22,24	889
T14.31	14	0,1,2,4,5,9,12,15,16,17,20,21,25,26	791
T14.32	14	0,1,2,4,5,9,10,14,15,17,18,20,22,25	835
T14.33	14	0,3,4,10,12,13,15,17,20,21,22,24,25,26	518
T14.34	14	1,4,5,6,9,11,13,15,16,18,21,22,24,26	845
T14.35	14	2,3,5,8,9,12,13,14,16,17,18,19,21,23	963
T14.36	14	0,3,6,10,11,12,14,16,17,19,20,21,22,24	719
T14.37	14	1,4,5,7,11,12,13,14,16,17,19,22,23,26	837
T14.38	14	0,1,2,3,4,5,13,15,17,19,20,23,24,26	830
T14.39	14	5,6,7,8,10,13,14,15,16,19,20,21,22,25	926
